gene_id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000189295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000189306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000196236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000196419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000196431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000196576	24436.63	34339.39	20096.89	24149.23	17217.8	7140.61	18488.25	23217.44
ENSG00000196588	7539.72	7552.01	7396.8	7557.01	5708.57	5718.9	4926.05	5181.61
ENSG00000197077	1455.73	1487.25	1441.64	1333.82	1053.39	1274.3	1154.47	1256.72
ENSG00000197182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000197210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000197421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000197549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000198062	1359.99	1360.43	1378.24	1225.47	1578.7	1420.76	1580.18	1161.62
ENSG00000198089	3574.72	4186.27	3714.96	3697.3	4846.7	4344.62	4221.24	4064.26
ENSG00000198125	11934.14	11990.27	10944.84	11589.72	11373.64	11332.85	8715.9	10441.63
ENSG00000198355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000198445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000198792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000198832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000198911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000198951	1873.69	1720.83	1557.94	1614.33	1239.65	1593.12	1513.16	1281.81
ENSG00000199248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000199515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000199695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000199783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
