id	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08
ENSG00000205704	45	53	58	71	17	59	26	31
ENSG00000205856	127	128	141	103	142	157	150	142
ENSG00000206140	88	90	60	36	68	119	85	95
ENSG00000211639	78	92	121	100	90	81	91	54
ENSG00000211655	65	98	74	93	96	91	80	58
ENSG00000211659	38	63	49	37	57	51	62	100
ENSG00000211663	108	84	130	86	69	57	66	39
ENSG00000211669	70	59	65	71	68	65	54	65
ENSG00000211677	88	96	103	108	65	54	84	72
ENSG00000211685	46	64	68	87	66	96	77	45
ENSG00000213923	467	413	569	482	280	337	275	338
ENSG00000215012	104	140	167	167	179	157	196	222
ENSG00000215193	190	144	152	148	204	230	236	238
ENSG00000217442	112	126	133	147	101	143	104	107
ENSG00000221890	419	365	368	336	319	259	300	357
ENSG00000239282	105	157	161	178	83	184	208	97
ENSG00000239900	870	812	883	904	779	724	704	677
ENSG00000241484	482	526	391	437	321	284	359	340
ENSG00000241878	38	37	35	30	68	42	41	58
ENSG00000241973	241	254	259	255	260	300	252	209
ENSG00000242114	103	96	102	91	97	112	91	144
ENSG00000242247	173	162	190	226	366	314	316	312
ENSG00000242259	137	112	100	136	109	169	144	130
ENSG00000243156	541	554	547	484	607	551	646	583
ENSG00000243811	127	85	101	129	100	99	135	118
ENSG00000244752	67	141	146	132	125	138	112	155
ENSG00000248751	81	97	75	65	220	130	121	202
ENSG00000249590	84	58	58	29	97	74	54	89
ENSG00000251322	1102	932	1055	1089	948	928	1002	1018
ENSG00000258555	232	231	172	180	177	218	223	179
ENSG00000273899	90	120	102	117	121	81	150	129
ENSG00000274602	0	0	0	0	1	2	0	0
ENSG00000275004	288	316	296	341	314	319	269	407
ENSG00000276950	160	127	142	168	145	179	161	162
ENSG00000277971	9	28	27	52	30	46	26	50
ENSG00000278195	202	221	205	254	287	249	230	206
ENSG00000278558	85	58	77	78	62	102	68	70
ENSG00000279159	1	1	0	0	1	2	0	0
ENSG00000279738	0	0	0	0	2	2	0	0
ENSG00000280007	1	0	0	1	0	0	1	1
ENSG00000284194	135	146	182	164	195	141	196	166
ENSG00000285025	36	27	40	39	39	43	57	44
ENSG00000285404	17	0	7	0	0	0	0	0
ENSG00000286070	545	513	663	517	706	557	629	678
ENSG00000286367	1	0	1	0	1	0	0	0
